Nom,Qté
?,TRUE
L'or Délizioso (5),TRUE
Nescafé Andes (5),TRUE
L'or Decaffeinato (6),TRUE
L'or Lungo Elegante (6),FALSE
Starbucks Colombia (7),TRUE
L'or Colombia (8),FALSE
L'or Forza (9),TRUE
L'or Or Absolu (9),FALSE
Nescafé India (9),TRUE
Nescafé Africas (10),TRUE
L'or Ristretto (11),FALSE
Starbucks Expresso Roast (11),TRUE
L'or Expresso Caramel (),TRUE
Espresso Chocolate (8),TRUE
Plantation Saveur Noisette (7),TRUE
Plantation Saveur Vanille (6),FALSE
Plantation Saveur Caramel (7),FALSE
Dolce Gusto - Café au lait,TRUE
Dolce Gusto - Lungo,TRUE
Dolce Gusto - KitKat,FALSE
Dolce Gusto - Nesquik,TRUE
